food_id;food_name_hu;food_name_en;kcal_per_100;prot;carbs;fat;meal_type
NULL;Csirkemell sütve fűszerekkel;Baked chicken breast;160;29;1;4;main
NULL;Csirkecomb sütve (bőr nélkül);Baked chicken thigh (no skin);190;24;0;10;main
NULL;Darálthús (marha, 10% zsír, sütve);Ground beef (10% fat, cooked);220;26;0;12;main
NULL;Marhasteak sütve;Beef steak (grilled);250;27;0;15;main
NULL;Sertéskaraj sütve;Pork loin (roasted);220;25;0;13;main
NULL;Lazac sütve;Salmon (baked);210;22;0;13;main
NULL;Tonhal konzerv vízben;Canned tuna in water;110;24;0;1;main
NULL;Tőkehal sütve;Baked cod;95;21;0;1;main
NULL;Halrudacska sütve;Fish sticks (baked);220;12;22;10;main
NULL;Vegyes zöldség (párolt);Mixed vegetables (steamed);45;2;8;0.5;main
NULL;Brokkoli párolt;Broccoli (steamed);35;3;7;0.4;main
NULL;Karfiol párolt;Cauliflower (steamed);30;2.5;5;0.3;main
NULL;Zöldbab párolt;Green beans (steamed);35;2;7;0.3;main
NULL;Zöldsaláta (öntet nélkül);Green salad (no dressing);20;1.5;3;0.2;main
NULL;Paradicsom;Tomato;18;0.8;4;0.2;main
NULL;Uborka;Cucumber;15;0.6;3;0.1;main
NULL;Paprika;Bell pepper;25;1;6;0.2;main
NULL;Spenót párolt;Spinach (steamed);30;3;4;0.4;main
NULL;Csirkemell rizzsel és zöldséggel;Chicken with rice and vegetables;150;14;18;3;main
NULL;Pulykamell édesburgonyával;Turkey with sweet potato;160;17;18;3;main
NULL;Marhahús barna rizzsel;Beef with brown rice;190;15;20;6;main
NULL;Lazac rizzsel és brokkolival;Salmon with rice and broccoli;185;14;16;8;main
NULL;Zöldséges tészta csirkével;Chicken veggie pasta;170;13;20;5;main
NULL;Zöldséges rizottó;Vegetable risotto;150;4;26;3;main
NULL;Csicseriborsó rizzsel;Chickpeas with rice;170;7;30;3;main
NULL;Lencsefőzelék (light);Lentil stew (light);120;7;16;3;main
NULL;Babfőzelék (light);Bean stew (light);130;7;18;3;main
NULL;Zabpalacsinta;Oat pancakes;180;8;24;6;breakfast
NULL;Zabpalacsinta túróval;Oat pancakes with cottage cheese;190;11;23;6;breakfast
NULL;Zabkása mogyoróvajjal és banánnal;Oatmeal with peanut butter and banana;180;6;24;7;breakfast
NULL;Gyümölcssaláta;Fruit salad;60;1;14;0.3;snack
NULL;Müzliszelet (házi, zab+magvak);Homemade muesli bar;250;7;30;10;snack
NULL;Fehérjeturmix (tejjel);Protein shake (with milk);110;20;6;2;snack
NULL;Fehérjeturmix (vízzel);Protein shake (with water);80;20;2;1;snack
NULL;Csokis fehérjeszelet;Chocolate protein bar;210;18;18;8;snack
NULL;Sós keksz (teljes kiőrlésű);Whole grain crackers;430;9;64;15;snack
NULL;Puffasztott rizsszelet;Rice cakes;380;8;80;2;snack
NULL;Kávé tejjel (kevés cukorral);Coffee with milk and little sugar;30;1;4;1;breakfast
